sentence,label,predicted_label,pos,neg
전북대병원과 가까워 방문했습니다.,1,1,0.66557227547518,0.33442772452481995
도로 옆이 아니라 조용하고 생각보다 깔끔하여 하룻밤 묵기 좋은 위치입니다.,1,1,0.9227701772758178,0.07722982272418222
매우 예쁜 방이라 사진을 많이 찍고 싶었지만 시간이 너무 늦었습니다.,1,1,0.5347473707807157,0.46525262921928434
그래도 따뜻하게 잘 묵고 왔습니다.,1,1,0.8370632614777033,0.16293673852229673
방이 아늑하고 햇빛 차단이 잘 되어 알람도 못 듣고 푹 잤습니다.,1,1,0.5571175090895888,0.4428824909104112
다음에는 바비큐도 해보고 싶습니다.,1,1,0.780422453068993,0.21957754693100695
"불이 켜지지 않는 곳이 많았고, 충전기도 작동하지 않았습니다.",0,0,0.04183293061238433,0.9581670693876156
대체적으로 만족합니다.,1,1,0.8146389756996616,0.1853610243003384
화장실 문 때문에 새벽에 잠에서 깼습니다.,0,0,0.027198631756747242,0.9728013682432528
청소가 잘 안 된 것 같습니다.,0,0,0.00263637821241913,0.9973636217875809
바닥부터 TV 주변 등 먼지가 많았습니다.,0,0,0.030941364633433215,0.9690586353665668
"악취, 찌든 냄새, 먼지 날림에 대한 개선이 필요합니다.",0,0,0.049289632213016465,0.9507103677869835
혼자 쉬러 갔는데 너무 시끄러워서 한숨도 자지 못했습니다.,0,0,0.10884142888558176,0.8911585711144182
"넷플릭스도 안 되고 시끄러웠으며, TV도 작아서 한 시간 반 만에 그냥 나왔습니다.",0,0,0.05888284092802866,0.9411171590719714
"위치도 좋고 친절하시지만, 장판이 작동하지 않아 보일러를 틀어달라고 요청했음에도 쌀쌀하여 감기에 걸려 병원에 다녀왔습니다.",0,0,0.2630713978213689,0.7369286021786311
체크인 시간보다 일찍 도착하여 추가 요금 지불 후 예약과 다른 방을 배정받은 점을 제외하고는 매우 깨끗하고 시설이 잘 갖춰진 곳이었습니다.,1,0,0.33956093102846463,0.6604390689715354
위치를 제외하고는 모든 면에서 만족스러웠습니다.,1,1,0.8138200062279132,0.18617999377208683
"직원분들이 친절하여 체크인부터 기분이 좋았으며, 객실도 깨끗하고 화장실과 샤워실이 분리되어 있어 편리했습니다.",1,1,0.759068105477985,0.24093189452201502
"주변에 덕진공원이 있어 저녁에 연인과 산책하기 좋고, 전북대학교 옆이라 먹거리가 많아 좋았습니다.",1,1,0.86890606562499,0.13109393437501005
친절하고 감사했습니다.,1,1,0.9961721425490073,0.0038278574509926777
친구들과 놀러 왔습니다.,1,1,0.7139799468278891,0.2860200531721109
방마다 디자인이 조금씩 달랐습니다.,1,0,0.1390486016575232,0.8609513983424768
깔끔하고 따뜻하고 매우 좋았습니다.,1,1,0.9888419626503068,0.011158037349693228
위치도 훌륭합니다.,1,1,0.7700135062480532,0.2299864937519468
"깔끔하고 사장님도 좋으시고 모든 것이 좋았는데, 현관을 지나 방문 틈 사이에 구멍이 있는 것 같습니다.",0,1,0.6872384654008613,0.3127615345991387
매우 큰 바퀴벌레와 돈벌레를 마주했습니다.,0,0,0.16498850147338817,0.8350114985266118
정말 소름 끼쳤습니다.,0,0,0.3318158128619661,0.6681841871380338
방문을 닫고 신발을 화장실에 넣어놓고 생활했습니다.,0,0,0.21648778109653885,0.7835122189034611
소독을 한 번 하셔야 할 것 같습니다.,0,0,0.4575266948414159,0.5424733051585842
그 외 서비스는 좋았습니다.,0,1,0.7829404932629213,0.21705950673707874
화장실이 분리되어 있는데 투명해서 조금 아쉬웠습니다.,0,0,0.057065111663796166,0.9429348883362039
가성비는 좋지만 에어컨 소리가 너무 커서 잠들기 힘들었습니다.,0,0,0.1437875076201147,0.8562124923798853
"사장님, 방이 너무 춥습니다.",0,0,0.36413477440585496,0.635865225594145
정말 만족합니다.,1,1,0.9917669785794079,0.008233021420592124
깨끗하고 사장님도 친절하시며 모든 것이 마음에 들었습니다.,1,1,0.9546905360871438,0.045309463912856174
다음에도 이곳으로 갈 예정입니다.,1,1,0.9033036614355378,0.09669633856446225
날씨가 추워지니 보일러를 충분히 틀어주어 따뜻했습니다.,1,1,0.5470511312695472,0.4529488687304528
만족합니다.,1,1,0.9917669785794079,0.008233021420592124
편하게 잘 쉬다 갑니다.,1,1,0.9854704602827589,0.014529539717241136
203호 컴퓨터가 결국 작동하지 않았습니다.,0,0,0.08165156411326564,0.9183484358867343
그래픽 카드 문제인 것 같으니 수리해야 할 것 같습니다.,0,0,0.2123533598913408,0.7876466401086593
오른쪽 컴퓨터도 게임 다운로드 중 꺼져서 포기했습니다.,0,0,0.24343212560352176,0.7565678743964782
편하게 잘 쉬고 왔습니다.,1,1,0.9854704602827589,0.014529539717241136
"방이 깨끗하고 16시 입실이 좋았으며, 셀프 체크인으로 사장님과 대면하지 않아도 되어 편했습니다.",1,1,0.8230535438974677,0.17694645610253235
잘 쉬다 갑니다.,1,0,0.36413477440585496,0.635865225594145
가격이 저렴한 곳은 그만한 이유가 있습니다.,0,1,0.5356241624903662,0.46437583750963385
장판이 닳아 있고 화장실 문이 닫히지 않았습니다.,0,0,0.08810629421278651,0.9118937057872135
"한옥마을과 가까워서 매우 좋았으나, 모기가 너무 많아 힘들었습니다.",0,0,0.3002326219770698,0.6997673780229302
20마리 이상 잡았는데도 계속 나와 온몸을 물렸습니다.,0,0,0.17330939802527484,0.8266906019747251
아침에 보니 방충망에 문제가 있어 모기가 들어온 것 같았습니다.,0,0,0.05137114444210824,0.9486288555578918
모기 문제만 아니면 친절하고 한옥마을과 가까워 인프라는 매우 좋았습니다.,0,1,0.9735779887362846,0.02642201126371535
저렴하고 최고입니다.,1,1,0.9550392706429224,0.04496072935707762
추천합니다.,1,1,0.8388333948211194,0.1611666051788806
담배 냄새가 심하게 나고 비품에도 신경 쓰지 않는 것 같습니다.,0,0,0.006551885063917757,0.9934481149360822
아무 말 없으면 가장 더럽고 나쁜 방을 주니 확인하고 입실하시길 바랍니다.,0,0,0.16660874738780246,0.8333912526121976
"뚜벅이 여행으로 접근성은 좋으나, 간단한 조식으로 나온 초코 시럽이 유통기한이 지났고 곰팡이가 있는 것을 보고 기겁했습니다.",0,0,0.49910953866221863,0.5008904613377814
우리 아이가 모르고 먹었습니다.,0,0,0.49183207390897965,0.5081679260910203
나중에 확인했습니다.,0,0,0.22631481996140634,0.7736851800385937
테이블이 작고 낮아 음식을 먹을 때 바닥에 앉아야 했습니다.,0,0,0.09760299233616647,0.9023970076638336
이를 제외하고는 모든 것이 완벽했습니다.,0,1,0.7857763323902445,0.21422366760975553
출장 중 방문했는데 좋습니다.,1,1,0.9656654004630331,0.03433459953696694
제가 묵은 방은 어두웠습니다.,0,0,0.09168022488063535,0.9083197751193647
상관없는 사람도 있겠지만 어둡습니다.,0,0,0.07239685676952329,0.9276031432304768
여성분들은 좋지 않을 것입니다.,0,1,0.6656089620422883,0.33439103795771175
화장대 쪽은 더 어둡습니다.,0,0,0.15817918102736334,0.8418208189726366
거의 조명이 없는 것이나 마찬가지입니다.,0,0,0.2533343692143276,0.7466656307856724
컴퓨터 사용이 불가능합니다.,0,0,0.11464145990987201,0.885358540090128
겉은 번지르르한 일체형 컴퓨터가 좋아 보이기만 합니다.,0,1,0.5478796808350939,0.45212031916490614
속은 정리가 안 되어 엄청 느립니다.,0,0,0.1694378318038281,0.8305621681961719
인터넷 창을 열어봤다가 바로 껐습니다.,0,0,0.14506269680837405,0.854937303191626
전원 끄기도 버벅거립니다.,0,0,0.2921775651803993,0.7078224348196007
계산기로도 못 쓸 것 같습니다.,0,0,0.36413477440585496,0.635865225594145
일회용품은 전 사람이 쓰고 간 그대로 화장실 휴지통을 비우지 않았습니다.,0,0,0.04605608018350288,0.9539439198164972
"칫솔, 치약, 면도기 등 일회용품에 치약이 없었습니다.",0,0,0.1372181877704647,0.8627818122295353
욕실에도 없었습니다.,0,0,0.06328165428558585,0.9367183457144141
"가지고 다니는 칫솔 치약이 있어서 상관없었지만, 치약이 없으면 가져다 달라고 해야 하고 기다려야 할 것입니다.",0,0,0.08144372681635371,0.9185562731836463
씻으려고 옷 다 벗었다가 다시 입기도 해야 할 것입니다.,0,0,0.4859976954516711,0.5140023045483288
"에어컨이 바람 세기, 온도 등 조작이 안 됩니다.",0,0,0.10486715547793055,0.8951328445220694
"더워서 끄고 잘 수는 없고, 센 바람에 이불을 싸매고 조금 떨면서 잤습니다.",0,0,0.01851467515272706,0.9814853248472729
"시설은 깨끗하고 좋았지만, 안 좋은 점이 더 많았던 기억으로 남는 숙소가 될 것 같습니다.",0,1,0.9050556635717745,0.09494433642822553
