text,label
방은 넓었지만 인테리어는 평범했어요.,0
욕실에 준비된 어메니티가 고급스러웠어요.,1
숙소 분위기는 무난했어요.,0
숙소 근처가 너무 어두워서 위험했어요.,-1
방이 넓고 깨끗해서 기분 좋게 지냈어요.,1
정돈 상태는 그럭저럭 괜찮았어요.,0
인테리어가 고급스럽고 예뻤어요.,1
딱 1박용으로 괜찮은 곳이에요.,1
방 안에서 담배 냄새가 났어요.,-1
냉장고에서 냄새가 났어요.,-1
수건이 더러워 보였어요.,-1
체크인 시간이 너무 지연됐어요.,-1
침구류가 깔끔하고 푹신해서 만족했어요.,1
건물 외관부터 고급스러운 느낌이었어요.,1
침대 시트가 축축했어요.,-1
온돌방이 따뜻해서 숙면을 취할 수 있었어요.,1
밤에 약간 추웠지만 참을 만했어요.,0
위치가 외지고 찾기 힘들었어요.,-1
전주 여행 중 가장 만족스러운 숙소였어요.,1
어린아이와 함께 지내기에도 안전했어요.,1
에어컨이 잘 작동해서 시원했어요.,1
이불에서 먼지가 날렸어요.,-1
아늑하고 따뜻한 분위기였어요.,1
방문이 덜 닫혀서 찬 바람이 들어왔어요.,-1
기대하지 않으면 만족할 수 있는 수준이에요.,0
분리형 욕실이라 쾌적했어요.,1
주변이 조금 어두운 느낌이 있었어요.,0
냉방이 좀 강했지만 조절 가능했어요.,0
기본적인 조명은 있었어요.,0
방 안에 벌레가 나왔어요.,-1
방마다 콘센트가 많아서 충전 걱정 없었어요.,1
접근성이 나쁘진 않았어요.,0
주차장이 멀긴 했지만 있었어요.,0
이불이 폭신폭신해서 좋았어요.,1
오래된 건물이지만 청결은 유지됐어요.,0
특별한 점은 없었지만 기본은 했어요.,0
가성비 최고의 숙소였어요!,1
방 내부에 먼지가 많았어요.,-1
화장실에 거미가 있었어요.,-1
특별한 서비스는 없었어요.,0
조식은 안 먹어서 잘 모르겠어요.,0
아침에 소음이 조금 있었어요.,0
편안한 음악과 조명 덕분에 휴식이 잘 됐어요.,1
사진이랑 비슷한 수준이었어요.,0
야경이 멋져서 사진을 많이 찍었어요.,1
