sentence,result,label
가격도 싸고 시설도 좋아 편히 쉬다 갑니다 주변에는 먹을곳도 많고 가까워 이동도 편해요,가격도 저렴하고 시설도 좋아서 편히 쉬다 갑니다. 주변에 먹을 곳도 많고 이동도 편리했습니다.,1
항상 친절하시고 깨끗해서 잘이용했는데 이번엔 좀 실망했어요 더워지고 첨가는거라 에어컨 기대했는데 찬바람이 안나와서 더웠어요,항상 친절하시고 깨끗해서 잘 이용했는데 이번에는 조금 실망했습니다. 더운 날이었는데 에어컨에서 찬바람이 나오지 않아 무더웠어요.,-1
넴 뭐 항상 다니는 곳이라 이제는 더이상 막 칭찬하기도 애매하네요 가성비가 좋고 시내 접근성도 좋아요,항상 이용하는 곳이라 더 이상의 칭찬은 식상할 정도네요. 가성비가 좋고 시내 접근성도 뛰어납니다.,1
전주터미널이랑 가까워서 넘좋아요,전주 터미널과 가까워서 정말 좋습니다.,1
혼자 급 여행으로 전주를 선택했는 데 너무 잘 선택했습니다 위치 전주한옥마을에서 쭉 걸어오면 되니 좋아요,혼자 급하게 떠난 여행지로 전주를 선택했는데 아주 잘한 선택이었습니다. 위치도 좋아서 한옥마을에서 도보로 이동할 수 있어 편리했어요.,1
방문 이전에 사장님이 문자로 안내해주셔서 이용에 어려움이 없었음 청결한 객실 상태 만족스럽고 조용해서 쉬기 좋았음,방문 전 사장님이 문자로 안내해주셔서 이용에 불편함이 없었습니다. 객실도 청결하고 조용해서 편안하게 쉴 수 있었습니다.,1
여기 저기 검색하다 가격대비 가성비가 좋아보여서 예약 시쯤 가서 방 들어갔는데 담배냄새가 심해서 창문 열어놨었음,여러 곳을 비교해보고 가격 대비 가성비가 좋아 보여서 예약했는데 방에 들어가자마자 담배 냄새가 심해서 창문을 열어야 했습니다.,-1
깔금하고좋아요 예전왔을때하고 인테리어는 달라도 깔끔하고좋은거같아요 많이올거같아요,깔끔하고 좋습니다. 예전에 왔을 때와는 인테리어가 달라졌지만 여전히 깔끔하고 만족스러워서 앞으로 자주 방문할 것 같아요.,1
깔끔하고 사장님 친절하시고 정말 좋아요 깔끔하고 사장님 친절하시고 정말 좋아요 깔끔하고 사장님 친절하시고 정말 좋아요,깔끔하고 사장님도 매우 친절하셔서 정말 만족스러웠습니다.,1
전주신시가지는 바로여기 좋아요 주차걱정없고 주변에먹거리도많고 사장님도 친절하심 방컨디션도굿,전주 신시가지에서는 이곳이 최고입니다. 주차 걱정도 없고 주변에 먹을거리도 많습니다. 사장님도 친절하시고 방 컨디션도 훌륭합니다.,1
한옥마을이랑 거리가 조금 있었지만 괜찮았어요 숙소 깔끔하고 친절하셨어요,한옥마을과 거리가 조금 있었지만 괜찮았습니다. 숙소는 깔끔했고 사장님도 친절하셨어요.,1
